SAMPLE_No,Na,Mg,Al,Si,P,Ca,Ti,Fe,Ba,K,CaO.1,TiO2.1,Mn,Fe2O3.1,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Nd,Sm,Yb,Hf,W,Pb,Bi,Th,U,Sn,Sb,I,Cs,Ba.1,La,Ce
632101,9643.91691394659,25931.7332046798,77269.1188145012,292165.295437547,741.839762611276,3716.40937678674,5233.499190696,45953.696579702,800,22331.0642536942,5000,8800,3390,69100,13.9,115,238.7,27.5,76.2,71.1,143.4,16.7,1,15.1,0.6,72.1,86.3,98.7,25.5,465.9,12.5,0.8,33.2,,3.4,11.5,1.8,68.7,0.4,8,3.1,2.5,1.2,13.8,4,658,34,65
632103,8902.07715133531,27137.8603304788,82032.2836729294,286088.257292446,698.202129516495,3216.12349914237,5263.47341286494,48401.76260754,700,22912.1700149427,4200,8740,2510,71900,15.7,123.1,199.2,29.3,80.5,34.7,156.6,17.1,1.4,12.6,0.5,49.8,91.5,75.2,24.3,311.3,12.5,0.5,30.6,,1.8,6.6,1.1,31.4,,8.6,2.7,2.4,0.2,8.7,3,588,36,69
632104,5934.71810089021,10855.1441321915,61921.143159566,245418.848167539,3010.99668353988,9362.49285305889,5371.3806126731,49940.5469678954,700,11124.0245724722,13800,9450,1630,77000,12.1,104.4,145.3,30,55.7,68,378.6,13.3,1.7,6.1,1.6,32.7,45.3,117.1,26.1,628.3,14.1,2.6,33.6,6.2,3.1,14.1,2.3,129.1,0.6,9.7,3,12.9,2.8,5.9,4,631,39,73
632108,11127.5964391691,22313.3518272826,75152.1566551998,304319.371727749,741.839762611276,3930.81761006289,5299.44247946766,43575.5752955166,600,18761.4145774531,5300,8590,2470,66400,15.9,119.5,196.6,27.3,72.1,30.3,163.6,16,1,14,0.6,32.8,72.9,107.2,23.7,404.4,11.6,0.5,27.7,4.7,2.5,9.5,1.6,65.2,,8.1,3,2.7,0.7,7.6,3,529,34,62
632109,17062.3145400593,15679.6526353878,69330.5107171209,302449.513836948,1090.94082736952,8290.4516866781,6498.41136622505,39798.5591382808,700,15274.7800099618,11500,10990,1770,62100,13.3,97.7,205.3,24.7,54.8,23,179.9,13.4,0.8,5.2,0.4,17.4,55.9,163.4,20.2,778.9,13.7,0.9,26.7,3,2.8,18.2,1.7,96.3,0.3,7.7,3.1,11.3,0.5,3.2,3,584,28,54
632115,4451.03857566766,9649.01700639248,84149.2458322307,276738.967838444,1178.21609355909,5717.55288736421,5653.13830106109,46233.4755543121,800,14527.6440312137,8100,9730,2360,70800,15.6,93.9,135.2,26,48.7,30,104.7,16.5,,6.7,0.8,20.4,63.6,107.8,28.5,729.3,14.5,1.1,40.6,5,2.4,16.9,1.3,45.5,0.6,12.1,3.7,6.7,0.3,5.9,4,664,49,89
632116,11869.4362017804,23519.4789530817,74093.6755755491,268324.607329843,1178.21609355909,6146.36935391652,6402.49385528446,63230.0482618731,700,15938.9008799602,8900,11410,2910,92200,17.2,146,254.1,34.9,75.3,27.9,179.7,16.8,1.2,11.9,0.7,17.6,58.7,129.7,26,1023.5,13.7,0.8,36,3.1,3.8,23,1.3,359.6,1.1,9.7,3.2,2.6,0.5,4.4,3,623,41,76
632119,2225.51928783383,10855.1441321915,110611.272823498,248223.63500374,523.651597137371,4431.10348770726,6612.313410467,45464.0833741344,400,15772.8706624606,6100,12010,870,70400,16.2,125.6,123.3,25.2,61.5,31,104.1,22.5,1.3,5,0.5,2.5,78.8,70.4,30.1,406.6,28.7,1.3,47,7.9,2.9,9.1,2.1,34.1,,13.9,3.9,5.8,,0.5,4,280,56,96
632121,11127.5964391691,16282.7161982873,69330.5107171209,288425.579655946,960.027928085181,5145.79759862779,5803.00941190576,47562.4256837099,800,15357.7951187116,7500,10010,3670,72400,14.4,113.5,144.2,28.1,56.6,26.6,167.8,14.2,1.1,10.5,0.3,34.2,58.5,107.9,24.3,495.8,12.9,0.9,31.4,,3.3,12.7,0.9,57.8,0.3,7.5,2.9,2,0.2,6.4,3,650,32,62
632123,11869.4362017804,20504.161138584,75152.1566551998,308059.087509349,741.839762611276,4145.22584333905,5695.1022120976,41547.1777295936,600,18014.278598705,5800,9750,1440,65300,14.9,124,188.5,24.9,64.8,35.4,172.5,15.3,1.8,6.9,0.3,14.5,68,112.4,27.2,537,12.5,0.7,28.1,5,2.2,13,2,987.2,0.6,8.4,1.1,3.7,1.3,2.9,3,536,33,64
632124,9643.91691394659,19901.0975756845,74093.6755755491,283283.470456245,960.027928085181,4574.04230989137,5227.50434626221,48401.76260754,700,18346.3390337041,6600,9070,2250,74400,16.6,133.7,184.4,28.8,67.8,42.2,270.3,16.4,1.4,10.5,0.6,51.6,71.3,101.5,25.4,411.3,11.7,0.8,30.7,4.5,2.9,10.4,1.2,838.3,,7.3,1.2,6.4,1.2,13,3,587,33,61
632125,11127.5964391691,22916.4153901821,75152.1566551998,305721.765145849,872.752661895619,4716.98113207547,5335.41154607038,44484.8569629992,600,17931.2634899552,6400,8680,1980,67100,16.9,119.8,211.2,26.1,70.5,53.9,139.8,14.8,0.7,13.1,0.7,33.2,69.5,111.1,23.3,459,11,0.7,29,,3.8,10.9,1.2,87.1,,8.4,3.1,37,1.3,7.1,3,501,31,62
632126,10385.7566765579,15679.6526353878,67742.7890976449,292165.295437547,1570.95479141211,8433.39050886221,5952.88052275044,56865.0765894943,1000,14527.6440312137,12000,10410,5080,84000,12.9,142.1,313.3,38.6,89.6,107.8,311.9,14.8,1.6,8.3,0.9,26.3,52.9,134.9,32.1,1218.3,14.7,1.5,40.8,3.5,4.4,30.1,3.9,423.5,1,10,3.4,125.3,3,5.2,3,875,41,77
632128,9643.91691394659,11458.2076950911,52394.8134427097,334704.562453254,829.115028800838,15080.0457404231,6798.15358791439,46583.1992725747,700,11373.0698987216,22000,12240,1610,72800,11.1,112.2,404.2,25.8,45.8,55.7,153.8,9.5,1.5,5.5,1,16,37.7,135.6,36.2,,15.7,0.4,48.9,6.1,4.5,92.2,2.8,173.9,1.3,17.5,4.7,12.4,1.3,1.1,2,560,57,108
632134,6676.55786350148,18091.9068869859,79386.0809738026,246353.777112939,785.477395706057,3859.34819897084,4837.83945806606,48751.4863258026,1500,23991.36642869,6700,10510,2630,88500,23.5,191,162.4,37.5,87,97.6,1194.2,27.2,3.5,,1.2,53.7,87.2,109,49.8,255.8,12,2.8,41.9,4.9,2.1,5.6,3,,10.5,8,,4,10.1,7.2,3,1754,34,66
632135,13353.115727003,19901.0975756845,69859.7512569463,302449.513836948,785.477395706057,4931.38936535163,5317.42701276902,39938.4486255858,600,15772.8706624606,6900,8900,1320,62800,14.4,112,166.6,25.3,60.7,27.5,154.8,13.2,1.2,7.2,0.5,15,58.7,126.8,22.1,373,11.7,0.8,24.2,7.1,,8.5,0.7,437.9,0.8,7.1,2.2,3.7,0.6,3.5,2,477,29,54
632136,11127.5964391691,19298.0340127849,76739.8782746758,280946.148092745,872.752661895619,3573.47055460263,5581.20016785564,47702.3151710149,600,17765.2332724556,4900,9640,1070,72000,15.7,127.2,158.5,26.5,69.5,37.4,189.4,17.1,1.6,6.9,0.5,36.4,73.3,90.7,24.8,452.1,14.7,0.8,31.3,3.7,3.3,10.3,1.3,104.6,0.8,8.4,3.1,18.8,0.3,3.7,3,513,37,65
632137,6676.55786350148,13870.4619466892,72505.953956073,242146.596858639,1832.7805899808,9648.3704974271,6018.82381152209,87780.6532839057,700,11871.1605512203,14400,10950,3230,119900,14.3,116.5,149.5,30.7,64.4,48.7,252.6,15.3,1.2,8.7,1.1,17.4,47.3,120.4,29,787.2,16.3,2.1,39.2,6.1,4.3,17.2,,117.5,0.6,10.4,3.6,25.2,0.9,4.2,3,628,47,86
632138,9643.91691394659,28343.9874562779,91558.6133897857,280478.683620045,610.926863326933,3787.87878787879,5713.08674539896,55606.071203749,700,22082.0189274448,5300,9510,1890,80400,19.2,162,196.4,31.1,94.2,46.9,194.9,17,0.9,21.4,0.2,27,83.6,115.4,24.1,254.9,11.5,0.6,29.5,5.5,2.9,7.4,1.7,126,,8.3,3,2.5,0.9,4.7,3,572,32,60
632139,5192.87833827893,11458.2076950911,81503.043133104,256637.995512341,916.3902949904,5288.73642081189,5155.56621305677,76939.218017766,600,13365.4325087166,7700,9280,2800,108400,15,101,143.6,45,86.9,21.8,84,15.4,1.1,14.9,0.4,5.8,54.8,95.3,36.2,702.3,12.9,0.5,45,7.4,3.7,16.6,1.7,16.4,0.7,10.5,4.1,2.6,0.4,1.2,5,523,51,92
632140,12611.2759643917,23519.4789530817,77269.1188145012,276271.503365744,3316.46011520335,10934.819897084,5335.41154607038,51759.1103028607,600,17765.2332724556,15400,9190,4240,77500,15.3,129.5,148.1,34.4,74.4,33.7,246.2,17.1,0.9,9.1,0.6,61.6,67.1,133.7,23.9,214.2,10.9,1,30.3,4.3,1.5,5.7,0.8,671.9,0.6,7.4,1.7,3.5,0.7,11,3,569,31,62
632141,11869.4362017804,16885.7797611868,63508.8647790421,304319.371727749,1134.5784604643,6360.77758719268,6066.78256699239,51199.5523536406,800,14444.6289224639,9200,10580,5700,77700,12.7,118,299.7,43.9,66.6,33.9,218.6,12.5,1.4,13.6,0.6,21.7,51.6,122.3,25.7,1489.5,13.6,0.7,36,5.5,4,37.7,1.8,283.8,0.6,11.5,3,35,0.7,6.3,3,749,40,76
632145,7418.39762611276,12664.3348208901,70918.232336597,262715.033657442,1134.5784604643,6432.24699828473,5161.56105749056,63439.8824928307,700,14361.6138137141,9600,9340,2400,94500,12.3,106.1,174.7,34.8,64.4,36,167.5,14.9,1.4,10,0.9,15,55.6,110.6,29,924.3,13.1,1.2,38.5,3.2,2.1,23,,288.2,1,12.1,2.9,22.1,0.7,3,4,670,44,82
